match_id,team,player,jersey_number,starter,appeared,first_position,on_time,off_time,start_reason,end_reason,num_positions_played
3857292,Germany,Mario Götze,11,False,True,Left Back,65:52,,Substitution - On (Tactical),Final Whistle,2
3857292,Germany,Serge Gnabry,10,True,True,Left Wing,00:00,,Starting XI,Final Whistle,3
3857292,Germany,Lukas Klostermann,16,False,True,Right Back,45:00,,Tactical Shift,Final Whistle,4
3857292,Germany,Thilo Kehrer,5,False,False,,,,,,0
3857292,Germany,Niclas Füllkrug,9,False,True,Left Defensive Midfield,53:56,,Substitution - On (Tactical),Final Whistle,2
3857292,Germany,Jonas Hofmann,18,False,False,,,,,,0
3857292,Germany,Matthias Ginter,4,False,True,Center Back,93:37,,Substitution - On (Tactical),Final Whistle,1
3857292,Germany,Christian Günter,20,False,False,,,,,,0
3857292,Germany,Kai Havertz,7,False,True,Left Center Forward,65:51,,Substitution - On (Tactical),Final Whistle,1
3857292,Germany,İlkay Gündoğan,21,True,True,Left Defensive Midfield,00:00,53:56,Starting XI,Substitution - Off (Tactical),1
3857292,Germany,David Raum,3,True,True,Left Back,00:00,65:52,Starting XI,Substitution - Off (Tactical),1
3857292,Germany,Marc-André ter Stegen,22,False,False,,,,,,0
3857292,Germany,Nico Schlotterbeck,23,False,False,,,,,,0
3857292,Germany,Armel Bella-Kotchap,25,False,False,,,,,,0
3857292,Germany,Karim-David Adeyemi,24,False,False,,,,,,0
3857292,Germany,Youssoufa Moukoko,26,False,False,,,,,,0
3857292,Germany,Jamal Musiala,14,True,True,Center Attacking Midfield,00:00,,Starting XI,Final Whistle,3
3857292,Costa Rica,Joel Nathaniel Campbell Samuels,12,True,True,Right Wing,00:00,,Starting XI,Final Whistle,2
3857292,Costa Rica,Celso Borges Mora,5,True,True,Right Defensive Midfield,00:00,,Starting XI,Final Whistle,1
3857292,Costa Rica,Bryan Ruiz González,10,False,False,,,,,,0
3857292,Costa Rica,Johan Alberto Venegas Ulloa,11,True,True,Center Forward,00:00,73:14,Starting XI,Substitution - Off (Tactical),2
3857292,Costa Rica,Keylor Navas Gamboa,1,True,True,Goalkeeper,00:00,,Starting XI,Final Whistle,1
3857292,Costa Rica,Óscar Esau Duarte Gaitán,6,True,True,Center Back,00:00,,Starting XI,Final Whistle,1
3857292,Costa Rica,Bryan Oviedo,8,True,True,Left Wing Back,00:00,92:29,Starting XI,Substitution - Off (Tactical),1
3857292,Costa Rica,Yeltsin Ignacio Tejeda Valverde,17,True,True,Left Defensive Midfield,00:00,92:32,Starting XI,Substitution - Off (Tactical),1
