match_id,minute,second,team,player,card,advantage,offensive
3857288,62,44,Australia,Riley McGree,,False,False
3857288,63,50,Tunisia,Ali Abdi,Yellow Card,False,False
3857288,67,6,Australia,Ajdin Hrustic,,False,False
3857288,75,12,Australia,Jackson Irvine,,False,False
3857288,82,24,Tunisia,Ali Abdi,,False,False
3857288,90,1,Tunisia,Taha Yassine Khenissi,,False,False
3857288,91,57,Tunisia,Ferjani Sassi,Yellow Card,False,False
3857292,7,1,Germany,Jamal Musiala,,False,False
3857292,12,48,Germany,İlkay Gündoğan,,False,False
3857292,14,33,Costa Rica,Joel Nathaniel Campbell Samuels,,False,False
3857292,17,28,Germany,David Raum,,False,False
3857292,19,11,Germany,İlkay Gündoğan,,False,False
3857292,23,23,Germany,David Raum,,False,False
3857292,39,27,Germany,Joshua Kimmich,,False,False
3857292,62,22,Costa Rica,Johan Alberto Venegas Ulloa,,False,False
3857292,68,27,Germany,Lukas Klostermann,,False,False
3857292,75,12,Costa Rica,Óscar Esau Duarte Gaitán,Yellow Card,True,False
3857292,81,11,Germany,Kai Havertz,,False,False
3857292,81,50,Costa Rica,Ronald Alberto Matarrita Ulate,,False,False
3857292,99,39,Germany,Kai Havertz,,False,False
3869685,0,19,France,Adrien Rabiot,,False,False
3869685,0,49,France,Aurélien Djani Tchouaméni,,False,False
3869685,1,36,Argentina,Rodrigo Javier De Paul,,False,False
3869685,3,13,France,Dayotchanculle Upamecano,,False,False
3869685,5,44,Argentina,Lionel Andrés Messi Cuccittini,,False,False
3869685,6,42,Argentina,Julián Álvarez,,False,False
3869685,8,41,Argentina,Cristian Gabriel Romero,,False,False
3869685,12,5,Argentina,Julián Álvarez,,False,False
3869685,18,11,Argentina,Rodrigo Javier De Paul,,False,False
3869685,19,3,France,Olivier Giroud,,False,False
3869685,20,53,France,Ousmane Dembélé,,False,False
3869685,25,32,Argentina,Cristian Gabriel Romero,,False,False
3869685,26,52,France,Theo Bernard François Hernández,,False,False
3869685,37,9,Argentina,Julián Álvarez,,False,False
3869685,37,51,France,Jules Koundé,,False,False
3869685,40,11,France,Jules Koundé,,False,False
3869685,41,12,France,Randal Kolo Muani,,False,False
3869685,41,39,France,Randal Kolo Muani,,False,False
3869685,44,8,Argentina,Julián Álvarez,,False,False
3869685,46,34,France,Theo Bernard François Hernández,,False,False
3869685,51,21,Argentina,Enzo Fernandez,Yellow Card,False,False
3869685,54,12,France,Adrien Rabiot,Yellow Card,False,False
3869685,56,3,Argentina,Nicolás Alejandro Tagliafico,,False,False
3869685,57,27,France,Kylian Mbappé Lottin,,False,False
3869685,60,27,Argentina,Julián Álvarez,,False,False
3869685,62,35,Argentina,Nicolás Alejandro Tagliafico,,False,False
3869685,68,40,Argentina,Enzo Fernandez,,False,False
3869685,73,9,France,Aurélien Djani Tchouaméni,,False,False
3869685,74,48,Argentina,Julián Álvarez,,True,False
3869685,76,10,France,Eduardo Camavinga,,False,False
3869685,78,13,Argentina,Nicolás Hernán Otamendi,,False,False
3869685,84,45,Argentina,Julián Álvarez,,False,False
3869685,85,46,Argentina,Nicolás Hernán Otamendi,,False,False
3869685,86,24,France,Marcus Thuram,Yellow Card,False,True
3869685,87,19,Argentina,Julián Álvarez,,False,False
3869685,91,34,Argentina,Cristian Gabriel Romero,,False,False
3869685,93,42,Argentina,Enzo Fernandez,,True,False
3869685,95,48,Argentina,Nicolás Alejandro Tagliafico,,False,False
3869685,97,33,Argentina,Marcos Javier Acuña,Yellow Card,False,False
3869685,90,36,France,Adrien Rabiot,,False,False
3869685,91,16,France,Marcus Thuram,,False,False
3869685,92,52,Argentina,Lionel Andrés Messi Cuccittini,,False,False
3869685,94,34,Argentina,Marcos Javier Acuña,,False,False
3869685,95,27,Argentina,Enzo Fernandez,,False,False
3869685,99,11,Argentina,Gonzalo Ariel Montiel,,False,False
3869685,101,19,France,Randal Kolo Muani,,False,False
3869685,113,27,Argentina,Leandro Daniel Paredes,Yellow Card,False,False
3869685,115,39,Argentina,Gonzalo Ariel Montiel,Yellow Card,False,False
3869486,3,24,Morocco,Yahia Attiyat allah,,False,False
3869486,7,39,Morocco,Selim Amallah,,True,False
3869486,11,43,Morocco,Sofyan Amrabat,,False,False
3869486,19,18,Portugal,Gonçalo Matias Ramos,,False,False
3869486,22,52,Portugal,Bruno Miguel Borges Fernandes,,False,False
3869486,24,48,Portugal,Rúben Diogo Da Silva Neves,,False,False
3869486,35,54,Portugal,Rúben Diogo Da Silva Neves,,False,False
3869486,36,35,Portugal,João Félix Sequeira,,False,False
3869486,38,3,Morocco,Sofiane Boufal,,False,True
3869486,39,35,Morocco,Sofyan Amrabat,,False,False
3869486,43,29,Portugal,Rúben Santos Gato Alves Dias,,False,False
3869486,47,2,Morocco,Selim Amallah,,False,False
3869486,47,51,Portugal,Kléper Laveran Lima Ferreira,,False,False
3869486,59,0,Morocco,Yahia Attiyat allah,,False,False
3869486,62,26,Morocco,Selim Amallah,,True,False
3869486,64,55,Morocco,Badr Banoun,,False,False
3869486,65,32,Morocco,Achraf Hakimi Mouh,,True,False
3869486,66,52,Morocco,Achraf Hakimi Mouh,,False,False
3869486,69,17,Morocco,Walid Cheddira,,False,False
3869486,69,40,Morocco,Achraf Dari,Yellow Card,False,False
3869486,75,40,Morocco,Walid Cheddira,,False,True
3869486,83,6,Morocco,Walid Cheddira,,False,False
3869486,83,43,Portugal,Ricardo Jorge Luz Horta,,False,False
3869486,84,27,Morocco,Achraf Hakimi Mouh,,False,False
3869486,86,30,Portugal,Vitor Machado Ferreira,Yellow Card,False,False
3869486,90,51,Morocco,Walid Cheddira,Yellow Card,False,False
3869486,92,9,Morocco,Walid Cheddira,Second Yellow,False,False
3869552,13,54,France,Youssouf Fofana,,False,False
3869552,19,48,France,Kylian Mbappé Lottin,,False,True
3869552,22,47,Morocco,Sofiane Boufal,,False,False
3869552,24,9,France,Ibrahima Konaté,,False,False
3869552,25,17,France,Ousmane Dembélé,,True,False
3869552,25,36,France,Ousmane Dembélé,,False,False
3869552,26,14,Morocco,Sofiane Boufal,Yellow Card,False,False
3869552,28,49,Morocco,Selim Amallah,,False,False
3869552,31,53,France,Kylian Mbappé Lottin,,False,False
3869552,32,15,Morocco,Achraf Dari,,True,False
3869552,36,22,Morocco,Sofyan Amrabat,,False,False
3869552,46,10,France,Jules Koundé,,False,False
3869552,46,53,France,Youssouf Fofana,,False,False
3869552,47,39,France,Kylian Mbappé Lottin,,False,False
3869552,45,5,France,Kylian Mbappé Lottin,,True,False
3869552,45,14,France,Jules Koundé,,False,False
3869552,46,39,Morocco,Selim Amallah,,True,False
3869552,60,33,Morocco,Yahia Attiyat allah,,False,False
3869552,67,36,Morocco,Achraf Hakimi Mouh,,False,False
3869552,68,59,Morocco,Yahia Attiyat allah,,True,False
3869552,69,44,Morocco,Achraf Dari,,False,False
3869552,71,50,Morocco,Sofyan Amrabat,,False,False
3869552,74,0,Morocco,Selim Amallah,,False,False
3869552,81,11,Morocco,Yahia Attiyat allah,,False,False
3869552,83,23,France,Ibrahima Konaté,,False,False
3869552,86,31,France,Marcus Thuram,,False,False
3869552,91,39,France,Kylian Mbappé Lottin,,True,False
3869552,95,34,Morocco,Sofyan Amrabat,,False,False
3857295,1,46,Japan,Yuto Nagatomo,,False,False
3857295,2,56,Japan,Hidemasa Morita,,False,False
3857295,3,44,Japan,Yuki Soma,,False,False
