match_id,minute,second,team,player_off,player_in,reason
3869321,65,47,Argentina,Rodrigo Javier De Paul,Leandro Daniel Paredes,Tactical
3869321,77,9,Argentina,Marcos Javier Acuña,Nicolás Alejandro Tagliafico,Tactical
3869321,77,28,Argentina,Cristian Gabriel Romero,Germán Alejandro Pezzella,Tactical
3869321,77,57,Netherlands,Memphis Depay,Wout Weghorst,Tactical
3869321,80,55,Argentina,Julián Álvarez,Lautaro Javier Martínez,Tactical
3869321,105,0,Argentina,Nahuel Molina Lucero,Gonzalo Ariel Montiel,Tactical
3869321,111,1,Argentina,Lisandro Martínez,Ángel Fabián Di María Hernández,Tactical
3869321,112,41,Netherlands,Cody Mathès Gakpo,Noa Lang,Tactical
3857265,45,0,Poland,Nicola Zalewski,Krystian Bielik,Tactical
3857265,70,15,Mexico,Héctor Miguel Herrera López,Carlos Alberto Rodríguez Gómez,Tactical
3857265,70,18,Mexico,Henry Josué Martín Mex,Raúl Alonso Jiménez Rodríguez,Tactical
3857265,71,10,Poland,Sebastian Szymański,Przemysław Frankowski,Tactical
3857265,83,48,Mexico,Ernesto Alexis Vega Rojas,Carlos Uriel Antuna Romero,Tactical
3857265,87,0,Poland,Piotr Zieliński,Arkadiusz Milik,Tactical
3857301,63,43,Senegal,Krépin Diatta,Pathé Ismaël Ciss,Tactical
3857301,68,19,Qatar,Karim Boudiaf,Abdulaziz Hatem Mohammed Abdullah,Tactical
3857301,73,47,Senegal,Famara Diedhiou,Cheikh Ahmadou Bamba Mbacke Dieng,Tactical
3857301,73,57,Senegal,Ismaïla Sarr,Iliman Ndiaye,Tactical
3857301,74,17,Qatar,Hassan Khalid Al Heidos,Mohammed Muntari,Tactical
3857301,76,57,Senegal,Ismail Jakobs,Pape Abou Cissé,Tactical
3857301,76,58,Senegal,Nampalys Mendy,Pape Matar Sarr,Tactical
3857301,82,8,Qatar,Homam Alamin Ahmed,Tarek Salman Salman,Tactical
3857301,82,14,Qatar,Pedro Miguel Correia,Mohammed Waed Abdulwahhab Al Bayati,Tactical
3857258,56,23,Serbia,Nemanja Gudelj,Ivan Ilić,Tactical
3857258,56,44,Serbia,Andrija Živković,Nemanja Radonjić,Tactical
3857258,65,8,Serbia,Saša Lukić,Darko Lazović,Tactical
3857258,65,19,Serbia,Filip Mladenović,Dušan Vlahović,Tactical
3857258,74,48,Brazil,Lucas Tolentino Coelho de Lima,Frederico Rodrigues Santos,Tactical
3857258,75,12,Brazil,Vinícius José Paixão de Oliveira Júnior,Rodrygo Silva de Goes,Tactical
3857258,78,19,Brazil,Richarlison de Andrade,Gabriel Fernando de Jesus,Tactical
3857258,79,9,Brazil,Neymar da Silva Santos Junior,Antony Matheus dos Santos,Injury
3857258,82,54,Serbia,Aleksandar Mitrović,Nemanja Maksimović,Tactical
3857258,86,54,Brazil,Raphael Dias Belloli,Gabriel Teodoro Martinelli Silva,Tactical
3869151,49,7,Argentina,Alejandro Darío Gómez,Lisandro Martínez,Tactical
3869151,57,52,Australia,Riley McGree,Craig Goodwin,Tactical
3869151,57,52,Australia,Keanu Baccus,Ajdin Hrustic,Tactical
3869151,71,0,Argentina,Julián Álvarez,Lautaro Javier Martínez,Tactical
3869151,71,19,Argentina,Marcos Javier Acuña,Nicolás Alejandro Tagliafico,Tactical
3869151,71,48,Australia,Mitchell Thomas Duke,Jamie MacLaren,Tactical
3869151,71,48,Australia,Mathew Leckie,Garang Kuol,Tactical
3869151,71,49,Australia,Miloš Degenek,Fran Karačić,Tactical
3869151,79,15,Argentina,Nahuel Molina Lucero,Exequiel Alejandro Palacios,Tactical
3869151,79,17,Argentina,Alexis Mac Allister,Gonzalo Ariel Montiel,Tactical
3857286,67,6,Ecuador,Romario Andrés Ibarra Mina,Jeremy Leonel Sarmiento Morante,Tactical
3857286,71,1,Qatar,Hassan Khalid Al Heidos,Mohammed Waed Abdulwahhab Al Bayati,Tactical
3857286,71,10,Qatar,Almoez Ali Zainalabiddin Abdulla,Mohammed Muntari,Tactical
3857286,75,57,Ecuador,Enner Remberto Valencia Lastra,José Adoni Cifuentes Charcopa,Injury
3857286,89,10,Ecuador,Michael Steveen Estrada Martínez,Kevin José Rodríguez Cortez,Tactical
3857286,89,54,Ecuador,Moisés Isaac Caicedo Corozo,Alan Steven Franco Palma,Tactical
3857267,45,0,Ecuador,Carlos Armando Gruezo Arboleda,José Adoni Cifuentes Charcopa,Tactical
3857267,45,0,Ecuador,Alan Steven Franco Palma,Jeremy Leonel Sarmiento Morante,Tactical
3857267,63,16,Ecuador,Michael Steveen Estrada Martínez,Djorkaeff Neicer Reasco González,Tactical
3857267,73,51,Senegal,Pathé Ismaël Ciss,Nampalys Mendy,Tactical
3857267,74,3,Senegal,Iliman Ndiaye,Cheikh Ahmadou Bamba Mbacke Dieng,Tactical
3857267,84,46,Ecuador,Angelo Smit Preciado Quiñónez,Jackson Gabriel Porozo Vernaza,Tactical
3857267,94,43,Senegal,Boulaye Dia,Pape Abou Cissé,Tactical
3869117,45,0,Netherlands,Marten de Roon,Steven Bergwijn,Tactical
3869117,45,0,Netherlands,Davy Klaassen,Teun Koopmeiners,Tactical
3869117,45,0,United States,Jesus Ferreira,Giovanni Reyna,Tactical
3869117,66,51,United States,Timothy Weah,Brenden Aaronson,Tactical
3869117,66,51,United States,Weston McKennie,Haji Wright,Tactical
3869117,74,57,United States,Sergino Dest,DeAndre Yedlin,Tactical
3869117,82,1,Netherlands,Memphis Depay,Xavi Simons,Tactical
3869117,91,14,United States,Antonee Robinson,Jordan Morris,Tactical
3869117,92,55,Netherlands,Nathan Aké,Matthijs de Ligt,Tactical
3869117,92,55,Netherlands,Cody Mathès Gakpo,Wout Weghorst,Tactical
3857269,45,0,Brazil,Lucas Tolentino Coelho de Lima,Rodrygo Silva de Goes,Tactical
3857269,57,40,Brazil,Frederico Rodrigues Santos,Bruno Guimarães Rodriguez Moura,Tactical
3857269,57,52,Switzerland,Ruben Vargas,Edimilson Fernandes,Tactical
3857269,58,15,Switzerland,Fabian Rieder,Renato Steffen,Tactical
3857269,72,40,Brazil,Richarlison de Andrade,Gabriel Fernando de Jesus,Tactical
3857269,72,59,Brazil,Raphael Dias Belloli,Antony Matheus dos Santos,Tactical
3857269,74,43,Switzerland,Djibril Sow,Michel Aebischer,Tactical
3857269,74,47,Switzerland,Breel-Donald Embolo,Haris Seferović,Tactical
3857269,85,19,Switzerland,Silvan Widmer,Fabian Frei,Tactical
3857269,85,22,Brazil,Alex Sandro Lobo Silva,Alex Nicolao Telles,Tactical
3857275,59,4,Tunisia,Wahbi Khazri,Issam Jebali,Injury
3857275,62,34,France,Raphaël Varane,William Saliba,Tactical
3857275,62,35,France,Kingsley Coman,Kylian Mbappé Lottin,Tactical
3857275,62,43,France,Jordan Veretout,Adrien Rabiot,Tactical
3857275,72,16,France,Youssouf Fofana,Antoine Griezmann,Tactical
3857275,73,52,Tunisia,Mohamed Ali Ben Romdhane,Ghilane Chalali,Tactical
3857275,78,6,France,Mattéo Guendouzi Olié,Ousmane Dembélé,Tactical
3857275,82,56,Tunisia,Anis Ben Slimane,Ali Abdi,Tactical
3857268,45,0,Belgium,Youri Tielemans,Amadou Onana,Tactical
3857268,45,0,Belgium,Yannick Ferreira Carrasco,Thomas Meunier,Tactical
3857268,57,24,Canada,David Junior Hoilett,Cyle Larin,Tactical
3857268,57,41,Canada,Atiba Hutchinson,Ismael Koné,Tactical
3857268,61,49,Belgium,Eden Hazard,Leandro Trossard,Tactical
