match_id,minute,second,team,player,card,reason
3869685,51,21,Argentina,Enzo Fernandez,Yellow Card,Foul
3869685,54,12,France,Adrien Rabiot,Yellow Card,Foul
3869685,86,24,France,Marcus Thuram,Yellow Card,Foul
3869685,94,35,France,Olivier Giroud,Yellow Card,Bad Behaviour
3869685,97,33,Argentina,Marcos Javier Acuña,Yellow Card,Foul
3869685,113,27,Argentina,Leandro Daniel Paredes,Yellow Card,Foul
3869685,115,39,Argentina,Gonzalo Ariel Montiel,Yellow Card,Foul
3869685,124,57,Argentina,Damián Emiliano Martínez,Yellow Card,Bad Behaviour
3869486,69,40,Morocco,Achraf Dari,Yellow Card,Foul
3869486,86,30,Portugal,Vitor Machado Ferreira,Yellow Card,Foul
3869486,90,51,Morocco,Walid Cheddira,Yellow Card,Foul
3869486,92,9,Morocco,Walid Cheddira,Second Yellow,Foul
3869552,26,14,Morocco,Sofiane Boufal,Yellow Card,Foul
3857295,40,50,Costa Rica,Anthony Daniel Contreras Enríquez,Yellow Card,Foul
3857295,43,11,Japan,Miki Yamane,Yellow Card,Foul
3857295,60,53,Costa Rica,Celso Borges Mora,Yellow Card,Foul
3857295,69,37,Costa Rica,Francisco Javier Calvo Quesada,Yellow Card,Foul
3857295,83,6,Japan,Ko Itakura,Yellow Card,Foul
3857295,92,31,Japan,Wataru Endo,Yellow Card,Foul
3857281,51,12,Canada,Tajon Buchanan,Yellow Card,Foul
3857281,55,5,Croatia,Dejan Lovren,Yellow Card,Foul
3857281,84,2,Canada,Kamal Miller,Yellow Card,Bad Behaviour
3857281,84,3,Croatia,Luka Modrić,Yellow Card,Bad Behaviour
3857287,55,38,Uruguay,José Martín Cáceres Silva,Yellow Card,Foul
3857287,87,45,South Korea,Gue-Sung Cho,Yellow Card,Foul
3857299,19,59,Ghana,Daniel Amartey,Yellow Card,Foul
3857299,26,30,South Korea,Woo-Young Jung,Yellow Card,Foul
3857299,72,28,Ghana,Tariq Lamptey,Yellow Card,Foul
3857299,76,30,South Korea,Young-Gwon Kim,Yellow Card,Foul
3857294,51,15,Netherlands,Nathan Aké,Yellow Card,Foul
3869220,75,53,Spain,Aymeric Laporte,Yellow Card,Foul
3869220,89,5,Morocco,Romain Saïss,Yellow Card,Foul
3857297,14,31,Poland,Jakub Piotr Kiwior,Yellow Card,Foul
3857297,15,31,Poland,Matty Cash,Yellow Card,Foul
3857297,18,47,Poland,Arkadiusz Milik,Yellow Card,Foul
3857297,19,55,Saudi Arabia,Abdulelah Saad Hameed Al-Malki,Yellow Card,Bad Behaviour
3857297,48,23,Saudi Arabia,Abdulelah Al Amri,Yellow Card,Foul
3857263,36,5,Germany,Thilo Kehrer,Yellow Card,Foul
3857263,43,28,Spain,Sergio Busquets i Burgos,Yellow Card,Foul
3857263,56,58,Germany,Leon Goretzka,Yellow Card,Foul
3857263,59,8,Germany,Joshua Kimmich,Yellow Card,Foul
3857283,27,52,Belgium,Amadou Onana,Yellow Card,Foul
